"SIC4","NAICS6","SIC_Description","NAICS_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"0175","111339","Deciduous Tree Fruits","Other Noncitrus Fruit Farming",3329,34135,447844528,0.51,0.47,0.5
"0179","111336","Fruits and Tree Nuts, Not Elsewhere Classified","Fruit and Tree Nut Combination Farming",501,6673,95902956,0.13,0.16,0.18
"0179","111339","Fruits and Tree Nuts, Not Elsewhere Classified","Other Noncitrus Fruit Farming",3329,34135,447844528,0.87,0.84,0.82
"0181","111421","Ornamental Nursery Products","Nursery and Tree Production",5263,91138,1690721676,0.63,0.63,0.64
"0181","111422","Ornamental Nursery Products","Floriculture Production",3032,54098,941184472,0.37,0.37,0.36
"0182","111411","Food Crops Grown Under Cover","Mushroom Production",242,14149,305923265,0.51,0.75,0.8
"0182","111419","Food Crops Grown Under Cover","Other Food Crops Grown Under Cover",232,4635,78543584,0.49,0.25,0.2
"0191","111998","General Farms, Primarily Crop","All Other Miscellaneous Crop Farming",7444,67384,1086382368,0.99,0.99,0.99
"0191","112519","General Farms, Primarily Crop","Other Animal Aquaculture",86,396,6598229,0.01,0.01,0.01
"0211","112112","Beef Cattle Feedlots","Cattle Feedlots",1022,14663,351610835,1,1,1
"0212","112111","Beef Cattle, Except Feedlots","Beef Cattle Ranching and Farming",5657,27651,501743414,1,1,1
"0213","112210","Hogs","Hog and Pig Farming",1613,20929,455517906,1,1,1
"0214","112410","Sheep and Goats","Sheep Farming",257,1324,19421816,0.84,0.87,0.86
"0214","112420","Sheep and Goats","Goat Farming",48,202,3277549,0.16,0.13,0.14
"0219","112990","General Livestock, Not Elsewhere Classified","All Other Animal Production",1457,9353,186777343,1,1,1
"0241","112111","Dairy Farms","Beef Cattle Ranching and Farming",5657,27651,501743414,0.53,0.37,0.37
"0241","112120","Dairy Farms","Dairy Cattle and Milk Production",5030,46762,859895154,0.47,0.63,0.63
"0251","112320","Broiler, Fryer, and Roaster Chickens","Broilers and Other Meat Type Chicken Production",293,8702,190411753,1,1,1
"0252","112310","Chicken Eggs","Chicken Egg Production",611,16482,325647719,1,1,1
"0253","112330","Turkeys and Turkey Eggs","Turkey Production",505,9234,205965054,1,1,1
"0254","112340","Poultry Hatcheries","Poultry Hatcheries",319,8838,187233652,1,1,1
"0259","112390","Poultry and Eggs, Not Elsewhere Classified","Other Poultry Production",152,1797,33465884,1,1,1
"0271","112930","Fur-Bearing Animal and Rabbits","Fur-Bearing Animal and Rabbit Production",104,893,14068001,1,1,1
"0272","112920","Horses and Other Equines","Horse and Other Equine Production",1228,6655,122180749,1,1,1
"0273","112511","Animal Aquaculture","Finfish Farming and Fish Hatcheries",519,5268,113949517,0.73,0.8,0.8
"0273","112512","Animal Aquaculture","Shellfish Farming",104,953,21856276,0.15,0.14,0.15
"0273","112519","Animal Aquaculture","Other Animal Aquaculture",86,396,6598229,0.12,0.06,0.05
"0279","112519","Animal Specialties, Not Elsewhere Classified","Other Animal Aquaculture",86,396,6598229,0.05,0.04,0.03
"0279","112910","Animal Specialties, Not Elsewhere Classified","Apiculture",300,1476,28474654,0.16,0.13,0.13
"0279","112990","Animal Specialties, Not Elsewhere Classified","All Other Animal Production",1457,9353,186777343,0.79,0.83,0.84
"0291","112990","General Farms, Primarily Animals","All Other Animal Production",1457,9353,186777343,1,1,1
"0711","115112","Soil Preparation Services","Soil Preparation, Planting, and Cultivating",3443,23131,489602674,1,1,1
"0721","115112","Crop Planting and Protection","Soil Preparation, Planting, and Cultivating",3443,23131,489602674,1,1,1
"0722","115113","Crop Harvesting","Crop Harvesting, Primarily by Machine",1018,13099,207834987,1,1,1
"0723","115114","Crop Preparation Services for Market","Postharvest Crop Activities (except Cotton Ginning)",1926,65142,1150123735,0.52,0.64,0.51
"0723","311119","Crop Preparation Services for Market","Other Animal Food Manufacturing",1804,35960,1108241244,0.48,0.36,0.49
"0724","115111","Cotton Ginning","Cotton Ginning",1081,11938,254356059,1,1,1
"0741","541940","Veterinary Services for Livestock","Veterinary Services",23138,187329,3656573502,1,1,1
"0742","541940","Veterinary Services, Specialties","Veterinary Services",23138,187329,3656573502,1,1,1
"0751","115210","Livestock Services, Except Veterinary","Support Activities for Animal Production",3900,22508,429515448,0.64,0.13,0.11
"0751","311611","Livestock Services, Except Veterinary","Animal (except Poultry) Slaughtering",2233,148413,3537179465,0.36,0.87,0.89
"0752","115210","Animal Specialty Services","Support Activities for Animal Production",3900,22508,429515448,0.37,0.47,0.56
"0752","812910","Animal Specialty Services","Pet Care (except Veterinary) Services",6662,25475,341457426,0.63,0.53,0.44
"0761","115115","Farm Labor Contractors","Farm Labor Contractors and Crew Leaders",2605,169674,1495731525,1,1,1
"0762","115116","Farm Management Services","Farm Management Services",1024,17127,313222445,1,1,1
"0781","541320","Landscape Counseling and Planning","Landscape Architectural Services",6161,29924,864013512,0.48,0.51,0.39
"0781","541690","Landscape Counseling and Planning","Other Scientific and Technical Consulting Services",6610,29147,1349847117,0.52,0.49,0.61
"0782","561730","Lawn and Garden Services","Landscaping Services",69126,417243,7780878720,1,1,1
"0783","561730","Ornamental Shrub and Tree Services","Landscaping Services",69126,417243,7780878720,1,1,1
"0811","111421","Timber Tracts","Nursery and Tree Production",5263,91138,1690721676,0.89,0.89,0.82
"0811","113110","Timber Tracts","Timber Tract Operations",654,10765,375858471,0.11,0.11,0.18
"0831","111998","Forest Products","All Other Miscellaneous Crop Farming",7444,67384,1086382368,0.96,0.96,0.96
"0831","112519","Forest Products","Other Animal Aquaculture",86,396,6598229,0.01,0.01,0.01
"0831","113210","Forest Products","Forest Nurseries and Gathering of Forest Products",191,2099,36273500,0.02,0.03,0.03
"0851","115310","Forestry Services","Support Activities for Forestry",2127,14379,358807497,1,1,1
"0912","114111","Finfish","Finfish Fishing",1927,4986,226560674,1,1,1
"0913","114112","Shellfish","Shellfish Fishing",1132,3514,104312649,1,1,1
"0919","111998","Miscellaneous Marine Products","All Other Miscellaneous Crop Farming",7444,67384,1086382368,0.85,0.93,0.89
"0919","112512","Miscellaneous Marine Products","Shellfish Farming",104,953,21856276,0.01,0.01,0.02
"0919","112519","Miscellaneous Marine Products","Other Animal Aquaculture",86,396,6598229,0.01,0.01,0.01
"0919","114112","Miscellaneous Marine Products","Shellfish Fishing",1132,3514,104312649,0.13,0.05,0.09
"0919","114119","Miscellaneous Marine Products","Other Marine Fishing",15,109,2595010,0,0,0
"0921","112511","Fish Hatcheries and Preserves","Finfish Farming and Fish Hatcheries",519,5268,113949517,0.83,0.85,0.84
"0921","112512","Fish Hatcheries and Preserves","Shellfish Farming",104,953,21856276,0.17,0.15,0.16
"0971","114210","Hunting, Trapping, Game Propagation","Hunting and Trapping",346,2322,35567693,1,1,1
"2037","311411","Frozen fruits & vegetables","Frozen Fruit, Juice, and Vegetable Manufacturing",317,48544,1209864999,1,1,1
"2038","311412","Frozen specialties, n.e.c.","Frozen Specialty Food Manufacturing",511,53580,1354877898,1,1,1
"2041","311211","Flour & other grain mill products","Flour Milling",367,15273,565985694,1,1,1
"2043","311230","Cereal breakfast foods","Breakfast Cereal Manufacturing",60,15641,812957869,0.17,0.55,0.63
"2043","311920","Cereal breakfast foods","Coffee and Tea Manufacturing",302,12915,484025540,0.83,0.45,0.37
"2044","311212","Rice milling","Rice Milling",92,5063,157830118,1,1,1
"2045","311822","Blended & prepared flour","Flour Mixes and Dough Manufacturing from Purchased Flour",263,13813,445647122,1,1,1
"2046","311221","Wet corn milling","Wet Corn Milling",73,9659,469578031,1,1,1
"2047","311111","Dog & cat food","Dog and Cat Food Manufacturing",253,19453,839807920,1,1,1
"2048","311119","Prepared feeds, n.e.c.","Other Animal Food Manufacturing",1804,35960,1108241244,0.45,0.2,0.24
"2048","311611","Prepared feeds, n.e.c.","Animal (except Poultry) Slaughtering",2233,148413,3537179465,0.55,0.8,0.76
"2051","311812","Bread, cake, & related products","Commercial Bakeries",2832,148266,4405491774,1,1,1
"2052","311812","Cookies & crackers","Commercial Bakeries",2832,148266,4405491774,0.79,0.66,0.64
"2052","311821","Cookies & crackers","Cookie and Cracker Manufacturing",380,40389,1306193473,0.11,0.18,0.19
"2052","311919","Cookies & crackers","Other Snack Food Manufacturing",365,35466,1121332819,0.1,0.16,0.16
"2053","311813","Frozen bakery products, except bread","Frozen Cakes, Pies, and Other Pastries Manufacturing",165,9375,266162890,1,1,1
"2061","311311","Raw cane sugar","Sugarcane Mills",42,4771,165948959,1,1,1
"2062","311312","Cane sugar refining","Cane Sugar Refining",32,3665,184978623,1,1,1
"2063","311313","Beet sugar","Beet Sugar Manufacturing",52,8034,261930195,1,1,1
"2064","311330","Candy & other confectionery products & chewing gum","Confectionery Manufacturing from Purchased Chocolate",1644,46461,1223760410,0.72,0.63,0.59
"2064","311340","Candy & other confectionery products & chewing gum","Nonchocolate Confectionery Manufacturing",635,27114,859958094,0.28,0.37,0.41
"2066","311320","Chocolate & cocoa products","Chocolate and Confectionery Manufacturing from Cacao Beans",62,8383,329348887,1,1,1
"2068","311911","Salted & roasted nuts & seeds","Roasted Nuts and Peanut Butter Manufacturing",203,11130,316635115,1,1,1
"2074","311223","Cottonseed oil mills","Other Oilseed Processing",88,4138,133923681,0.49,0.42,0.38
"2074","311225","Cottonseed oil mills","Fats and Oils Refining and Blending",90,5781,214657844,0.51,0.58,0.62
"2075","311222","Soybean oil mills","Soybean Processing",112,10319,400896534,0.55,0.64,0.65
"2075","311225","Soybean oil mills","Fats and Oils Refining and Blending",90,5781,214657844,0.45,0.36,0.35
"2076","311223","Vegetable oil mills, n.e.c.","Other Oilseed Processing",88,4138,133923681,0.49,0.42,0.38
"2076","311225","Vegetable oil mills, n.e.c.","Fats and Oils Refining and Blending",90,5781,214657844,0.51,0.58,0.62
"2077","311225","Animal & marine fats & oils","Fats and Oils Refining and Blending",90,5781,214657844,0.06,0.08,0.12
"2077","311613","Animal & marine fats & oils","Rendering and Meat Byproduct Processing",256,9814,312468132,0.16,0.14,0.18
"2077","311711","Animal & marine fats & oils","Seafood Canning",229,7166,173098289,0.14,0.1,0.1
"2077","311712","Animal & marine fats & oils","Fresh and Frozen Seafood Processing",1020,46635,1025251370,0.64,0.67,0.59
"2079","311225","Shortening & cooking oils","Fats and Oils Refining and Blending",90,5781,214657844,1,1,1
"2082","312120","Malt beverages","Breweries",417,30909,1622745999,1,1,1
"2083","311213","Malt","Malt Manufacturing",34,1328,62577490,1,1,1
"2084","312130","Wines, brandy, & brandy spirits","Wineries",810,20014,582893472,1,1,1
"2085","312140","Distilled liquor, except brandy","Distilleries",59,7567,428031525,1,1,1
"2086","312111","Bottled & canned soft drinks","Soft Drink Manufacturing",713,81137,2894434431,0.41,0.78,0.79
"2086","312112","Bottled & canned soft drinks","Bottled Water Manufacturing",1007,22545,763153045,0.59,0.22,0.21
"2087","311930","Flavoring extracts & syrups, n.e.c.","Flavoring Syrup and Concentrate Manufacturing",186,6095,325005075,0.14,0.13,0.18
"2087","311942","Flavoring extracts & syrups, n.e.c.","Spice and Extract Manufacturing",438,14433,573380233,0.34,0.3,0.32
"2087","311999","Flavoring extracts & syrups, n.e.c.","All Other Miscellaneous Food Manufacturing",663,27555,906032498,0.52,0.57,0.5
"2091","311711","Canned & cured seafood","Seafood Canning",229,7166,173098289,1,1,1
"2092","311712","Fresh or frozen seafood","Fresh and Frozen Seafood Processing",1020,46635,1025251370,1,1,1
"2095","311920","Roasted coffee","Coffee and Tea Manufacturing",302,12915,484025540,0.41,0.47,0.46
"2095","311942","Roasted coffee","Spice and Extract Manufacturing",438,14433,573380233,0.59,0.53,0.54
"2096","311919","Potato chips & similar snacks","Other Snack Food Manufacturing",365,35466,1121332819,1,1,1
"2097","312113","Manufactured ice","Ice Manufacturing",696,7649,168629324,1,1,1
"2098","311823","Macaroni & spaghetti","Dry Pasta Manufacturing",307,10745,334974473,1,1,1
"2099","311340","Food preparations, n.e.c.","Nonchocolate Confectionery Manufacturing",635,27114,859958094,0.17,0.18,0.19
"2099","311423","Food preparations, n.e.c.","Dried and Dehydrated Food Manufacturing",205,14262,395495609,0.05,0.09,0.09
"2099","311830","Food preparations, n.e.c.","Tortilla Manufacturing",416,13716,257921320,0.11,0.09,0.06
"2099","311911","Food preparations, n.e.c.","Roasted Nuts and Peanut Butter Manufacturing",203,11130,316635115,0.05,0.07,0.07
"2099","311920","Food preparations, n.e.c.","Coffee and Tea Manufacturing",302,12915,484025540,0.08,0.08,0.1
"2099","311941","Food preparations, n.e.c.","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",338,11959,391394584,0.09,0.08,0.08
"2099","311942","Food preparations, n.e.c.","Spice and Extract Manufacturing",438,14433,573380233,0.12,0.09,0.12
"2099","311991","Food preparations, n.e.c.","Perishable Prepared Food Manufacturing",572,20113,445482704,0.15,0.13,0.1
"2099","311999","Food preparations, n.e.c.","All Other Miscellaneous Food Manufacturing",663,27555,906032498,0.18,0.18,0.2
"2111","312221","Cigarettes","Cigarette Manufacturing",27,22993,1396391665,1,1,1
"2121","312229","Cigars","Other Tobacco Product Manufacturing",253,7834,272673458,1,1,1
"2131","312229","Chewing & smoking tobacco","Other Tobacco Product Manufacturing",253,7834,272673458,1,1,1
"2141","312210","Tobacco stemming & redrying","Tobacco Stemming and Redrying",32,5429,126361506,0.11,0.41,0.32
"2141","312229","Tobacco stemming & redrying","Other Tobacco Product Manufacturing",253,7834,272673458,0.89,0.59,0.68
"2211","313210","Weaving mills, cotton","Broadwoven Fabric Mills",959,142912,3856319674,1,1,1
"2221","313210","Weaving mills, synthetics","Broadwoven Fabric Mills",959,142912,3856319674,1,1,1
"2231","313210","Weaving & finishing mills, wool","Broadwoven Fabric Mills",959,142912,3856319674,0.23,0.55,0.55
"2231","313311","Weaving & finishing mills, wool","Broadwoven Fabric Finishing Mills",1961,63621,1774930461,0.47,0.25,0.25
"2231","313312","Weaving & finishing mills, wool","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.29,0.2,0.2
"2241","313221","Narrow fabric mills","Narrow Fabric Mills",357,20749,491574623,1,1,1
"2251","315111","Women’s hosiery, except socks","Sheer Hosiery Mills",143,17809,459984312,1,1,1
"2252","315111","Hosiery, n.e.c.","Sheer Hosiery Mills",143,17809,459984312,0.29,0.4,0.47
"2252","315119","Hosiery, n.e.c.","Other Hosiery and Sock Mills",350,26979,510634488,0.71,0.6,0.53
"2253","315191","Knit outerwear mills","Outerwear Knitting Mills",542,36703,766874656,1,1,1
"2254","315192","Knit underwear mills","Underwear and Nightwear Knitting Mills",54,14015,294587574,1,1,1
"2257","313241","Circular knit fabric mills","Weft Knit Fabric Mills",283,21387,570840899,0.19,0.29,0.29
"2257","313312","Circular knit fabric mills","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.81,0.71,0.71
"2258","313249","Lace & warp knit fabric mills","Other Knit Fabric and Lace Mills",196,14308,422385329,0.14,0.22,0.23
"2258","313312","Lace & warp knit fabric mills","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.86,0.78,0.77
"2259","313249","Knitting mills, n.e.c.","Other Knit Fabric and Lace Mills",196,14308,422385329,0.25,0.22,0.28
"2259","315191","Knitting mills, n.e.c.","Outerwear Knitting Mills",542,36703,766874656,0.68,0.56,0.52
"2259","315192","Knitting mills, n.e.c.","Underwear and Nightwear Knitting Mills",54,14015,294587574,0.07,0.22,0.2
"2261","313311","Finishing plants, cotton","Broadwoven Fabric Finishing Mills",1961,63621,1774930461,1,1,1
"2262","313311","Finishing plants, synthetics","Broadwoven Fabric Finishing Mills",1961,63621,1774930461,1,1,1
"2269","313312","Finishing plants, n.e.c.","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,1,1,1
"2273","314110","Carpets & rugs","Carpet and Rug Mills",581,52799,1411948753,1,1,1
"2281","313111","Yarn spinning mills","Yarn Spinning Mills",431,62648,1532609505,1,1,1
"2282","313112","Yarn throwing & winding mills","Yarn Texturizing, Throwing, and Twisting Mills",160,16556,446577685,0.12,0.24,0.24
"2282","313312","Yarn throwing & winding mills","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.88,0.76,0.76
"2284","313113","Thread mills","Thread Mills",80,5155,127657835,0.06,0.09,0.08
"2284","313312","Thread mills","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.94,0.91,0.92
"2295","313320","Coated fabrics, not rubberized","Fabric Coating Mills",320,13418,464502346,1,1,1
"2296","314992","Tire cord & fabric","Tire Cord and Tire Fabric Mills",36,6989,205275613,1,1,1
"2297","313230","Nonwoven fabrics","Nonwoven Fabric Mills",196,17977,676432565,1,1,1
"2298","314991","Cordage & twine","Rope, Cordage, and Twine Mills",215,6303,154631009,1,1,1
"2299","313111","Textile goods, n.e.c.","Yarn Spinning Mills",431,62648,1532609505,0.07,0.18,0.17
"2299","313113","Textile goods, n.e.c.","Thread Mills",80,5155,127657835,0.01,0.01,0.01
"2299","313210","Textile goods, n.e.c.","Broadwoven Fabric Mills",959,142912,3856319674,0.16,0.41,0.42
"2299","313221","Textile goods, n.e.c.","Narrow Fabric Mills",357,20749,491574623,0.06,0.06,0.05
"2299","313230","Textile goods, n.e.c.","Nonwoven Fabric Mills",196,17977,676432565,0.03,0.05,0.07
"2299","313312","Textile goods, n.e.c.","Textile and Fabric Finishing (except Broadwoven Fabric) Mills",1214,51875,1390891928,0.21,0.15,0.15
"2299","314999","Textile goods, n.e.c.","All Other Miscellaneous Textile Product Mills",2654,46715,999006780,0.45,0.13,0.11
"2311","315211","Men’s & boys’ suits & coats","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.56,0.7,0.67
"2311","315222","Men’s & boys’ suits & coats","Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",1192,28811,551194136,0.44,0.3,0.33
"2321","315211","Shirts, men’s & boys’","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.7,0.72,0.71
"2321","315223","Shirts, men’s & boys’","Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing",666,26565,469216390,0.3,0.28,0.29
"2322","315211","Men’s & boys’ underwear & nightwear","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.93,0.86,0.84
"2322","315221","Men’s & boys’ underwear & nightwear","Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing",114,11306,216250238,0.07,0.14,0.16
"2323","315993","Men’s & boys’ neckwear","Men's and Boys' Neckwear Manufacturing",94,3901,92425669,1,1,1
"2325","315211","Men’s & boys’ trousers & slacks","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.85,0.57,0.54
"2325","315224","Men’s & boys’ trousers & slacks","Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",264,51086,966369103,0.15,0.43,0.46
"2326","315211","Men’s & boys’ work clothing","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.86,0.72,0.7
"2326","315225","Men’s & boys’ work clothing","Men's and Boys' Cut and Sew Work Clothing Manufacturing",240,26989,483924949,0.14,0.28,0.3
"2329","315211","Men’s & boys’ clothing, n.e.c.","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.54,0.53,0.49
"2329","315228","Men’s & boys’ clothing, n.e.c.","Men's and Boys' Cut and Sew Other Outerwear Manufacturing",512,30575,549122072,0.18,0.23,0.24
"2329","315299","Men’s & boys’ clothing, n.e.c.","All Other Cut and Sew Apparel Manufacturing",804,31253,625158358,0.28,0.24,0.27
"2331","315212","Women’s blouses & waists","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.93,0.91,0.88
"2331","315232","Women’s blouses & waists","Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing",507,14633,308603879,0.07,0.09,0.12
"2335","315212","Women’s dresses","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.83,0.85,0.76
"2335","315233","Women’s dresses","Women's and Girls' Cut and Sew Dress Manufacturing",1393,25354,688043728,0.17,0.15,0.24
"2337","315212","Women’s suits & coats","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.94,0.91,0.85
"2337","315234","Women’s suits & coats","Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",390,14573,377686926,0.06,0.09,0.15
"2339","315212","Women’s outerwear, n.e.c.","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.63,0.57,0.5
"2339","315239","Women’s outerwear, n.e.c.","Women's and Girls' Cut and Sew Other Outerwear Manufacturing",2326,59096,1121071572,0.22,0.23,0.26
"2339","315299","Women’s outerwear, n.e.c.","All Other Cut and Sew Apparel Manufacturing",804,31253,625158358,0.08,0.12,0.14
"2339","315999","Women’s outerwear, n.e.c.","Other Apparel Accessories and Other Apparel Manufacturing",808,19964,414110812,0.08,0.08,0.1
"2341","315211","Women’s & children’s underwear","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.17,0.27,0.28
"2341","315212","Women’s & children’s underwear","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.76,0.57,0.53
"2341","315221","Women’s & children’s underwear","Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing",114,11306,216250238,0.01,0.04,0.05
"2341","315231","Women’s & children’s underwear","Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",292,18679,368594124,0.03,0.07,0.09
"2341","315291","Women’s & children’s underwear","Infants' Cut and Sew Apparel Manufacturing",147,10030,209289920,0.02,0.04,0.05
"2342","315212","Brassieres & allied garments","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.96,0.89,0.85
"2342","315231","Brassieres & allied garments","Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",292,18679,368594124,0.04,0.11,0.15
"2353","315991","Hats, caps, & millinery","Hat, Cap, and Millinery Manufacturing",316,15936,298553403,1,1,1
"2361","315212","Girls’ & children’s dresses & blouses","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.71,0.66,0.56
"2361","315223","Girls’ & children’s dresses & blouses","Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing",666,26565,469216390,0.07,0.12,0.12
"2361","315232","Girls’ & children’s dresses & blouses","Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing",507,14633,308603879,0.05,0.07,0.08
"2361","315233","Girls’ & children’s dresses & blouses","Women's and Girls' Cut and Sew Dress Manufacturing",1393,25354,688043728,0.15,0.11,0.18
"2361","315291","Girls’ & children’s dresses & blouses","Infants' Cut and Sew Apparel Manufacturing",147,10030,209289920,0.02,0.05,0.05
"2369","315212","Girls’ & children’s outerwear, n.e.c.","Women's, Girls', and Infants' Cut and Sew Apparel Contractors",6665,145652,2173334271,0.56,0.39,0.33
"2369","315221","Girls’ & children’s outerwear, n.e.c.","Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing",114,11306,216250238,0.01,0.03,0.03
"2369","315222","Girls’ & children’s outerwear, n.e.c.","Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",1192,28811,551194136,0.1,0.08,0.08
"2369","315224","Girls’ & children’s outerwear, n.e.c.","Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",264,51086,966369103,0.02,0.14,0.15
"2369","315228","Girls’ & children’s outerwear, n.e.c.","Men's and Boys' Cut and Sew Other Outerwear Manufacturing",512,30575,549122072,0.04,0.08,0.08
"2369","315231","Girls’ & children’s outerwear, n.e.c.","Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",292,18679,368594124,0.02,0.05,0.06
"2369","315234","Girls’ & children’s outerwear, n.e.c.","Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",390,14573,377686926,0.03,0.04,0.06
"2369","315239","Girls’ & children’s outerwear, n.e.c.","Women's and Girls' Cut and Sew Other Outerwear Manufacturing",2326,59096,1121071572,0.2,0.16,0.17
"2369","315291","Girls’ & children’s outerwear, n.e.c.","Infants' Cut and Sew Apparel Manufacturing",147,10030,209289920,0.01,0.03,0.03
"2371","315292","Fur goods","Fur and Leather Apparel Manufacturing",232,2575,73052993,1,1,1
"2381","315992","Fabric gloves & mittens","Glove and Mitten Manufacturing",126,6533,131573131,1,1,1
"2384","315211","Robes & dressing gowns","Men's and Boys' Cut and Sew Apparel Contractors",1527,68383,1140921658,0.18,0.28,0.29
